@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
1052,298972,168443,294151,238434,0.552308,0.639629,0.504064,0.639629,0.495936,0.563812,0.593123,1.078408,0.438003
1053,298935,168480,294111,238474,0.552233,0.639549,0.504067,0.639549,0.495933,0.563783,0.593046,1.078415,0.438023
1054,298262,169153,293312,239273,0.550733,0.63811,0.504184,0.63811,0.495816,0.563296,0.591574,1.078664,0.438132
1055,298200,169215,293225,239360,0.550569,0.637977,0.504206,0.637977,0.495794,0.563258,0.591425,1.078712,0.438202
1056,298191,169224,293209,239376,0.550539,0.637958,0.504212,0.637958,0.495788,0.563254,0.5914,1.078725,0.438247
1057,298172,169243,293188,239397,0.5505,0.637917,0.504214,0.637917,0.495786,0.56324,0.59136,1.078729,0.438272
1058,298117,169298,293160,239425,0.550447,0.637799,0.504192,0.637799,0.495808,0.56318,0.591277,1.078681,0.438356
1059,298069,169346,293105,239480,0.550344,0.637697,0.504198,0.637697,0.495802,0.563144,0.591174,1.078695,0.438424
1060,298054,169361,293095,239490,0.550325,0.637665,0.504194,0.637665,0.495806,0.563129,0.591149,1.078687,0.438467
1061,297797,169618,292777,239808,0.549728,0.637115,0.50425,0.637115,0.49575,0.562949,0.590574,1.078806,0.438555
1062,297487,169928,292380,240205,0.548983,0.636452,0.504329,0.636452,0.495671,0.562739,0.589867,1.078975,0.438596
1063,297484,169931,292365,240220,0.548955,0.636445,0.504339,0.636445,0.495661,0.562743,0.589849,1.078997,0.438641
1064,297383,170032,292239,240346,0.548718,0.636229,0.504362,0.636229,0.495638,0.562673,0.589622,1.079046,0.438671
1065,297312,170103,292169,240416,0.548587,0.636077,0.504362,0.636077,0.495638,0.562614,0.589481,1.079046,0.438722
1066,296710,170705,291337,241248,0.547024,0.634789,0.504569,0.634789,0.495431,0.562237,0.588047,1.079487,0.438806
1067,296699,170716,291322,241263,0.546996,0.634766,0.504572,0.634766,0.495428,0.56223,0.588021,1.079495,0.438809
1068,296658,170757,291257,241328,0.546874,0.634678,0.504593,0.634678,0.495407,0.562209,0.587915,1.07954,0.438817
1069,296101,171314,290573,242012,0.54559,0.633486,0.504711,0.633486,0.495289,0.561814,0.586674,1.079793,0.438846
1070,295968,171447,290431,242154,0.545323,0.633202,0.504721,0.633202,0.495279,0.561708,0.586399,1.079814,0.438849
1071,295959,171456,290419,242166,0.545301,0.633183,0.504724,0.633183,0.495276,0.561702,0.586378,1.07982,0.438889
1072,295950,171465,290409,242176,0.545282,0.633163,0.504725,0.633163,0.495275,0.561695,0.586359,1.079822,0.438931
1073,295919,171496,290388,242197,0.545243,0.633097,0.504717,0.633097,0.495283,0.561664,0.586307,1.079804,0.438944
1074,295903,171512,290375,242210,0.545218,0.633063,0.504714,0.633063,0.495286,0.561649,0.586278,1.0798,0.438957
1075,295868,171547,290329,242256,0.545132,0.632988,0.504725,0.632988,0.495275,0.561626,0.586197,1.079821,0.439024
1076,295829,171586,290287,242298,0.545053,0.632904,0.504728,0.632904,0.495272,0.561595,0.586116,1.079828,0.439068
1077,295791,171624,290263,242322,0.545008,0.632823,0.504716,0.632823,0.495284,0.561556,0.586054,1.079803,0.439103
1078,295756,171659,290224,242361,0.544935,0.632748,0.50472,0.632748,0.49528,0.561529,0.58598,1.079812,0.439119
1079,295505,171910,289906,242679,0.544338,0.632211,0.504782,0.632211,0.495218,0.561356,0.585411,1.079944,0.439169
1080,295494,171921,289885,242700,0.544298,0.632188,0.504791,0.632188,0.495209,0.561352,0.585379,1.079963,0.439181
1081,295415,172000,289786,242799,0.544112,0.632019,0.504809,0.632019,0.495191,0.561297,0.585201,1.080003,0.439252
1082,295401,172014,289770,242815,0.544082,0.631989,0.504811,0.631989,0.495189,0.561286,0.585171,1.080007,0.439306
1083,295345,172070,289716,242869,0.543981,0.631869,0.504811,0.631869,0.495189,0.561238,0.585061,1.080005,0.439316
1084,295310,172105,289690,242895,0.543932,0.631794,0.504803,0.631794,0.495197,0.561204,0.585,1.07999,0.439344
1085,295297,172118,289669,242916,0.543893,0.631766,0.504811,0.631766,0.495189,0.561198,0.584966,1.080005,0.439407
1086,294650,172765,288866,243719,0.542385,0.630382,0.504956,0.630382,0.495044,0.560741,0.583516,1.080317,0.43945
1087,294395,173020,288539,244046,0.541771,0.629836,0.505023,0.629836,0.494977,0.560566,0.582934,1.080459,0.43949
1088,294392,173023,288532,244053,0.541758,0.62983,0.505026,0.62983,0.494974,0.560566,0.582924,1.080467,0.439542
1089,294370,173045,288502,244083,0.541701,0.629783,0.505034,0.629783,0.494966,0.560552,0.582872,1.080482,0.43956
1090,294344,173071,288473,244112,0.541647,0.629727,0.505037,0.629727,0.494963,0.560531,0.582817,1.080489,0.43958
1091,293816,173599,287807,244778,0.540396,0.628598,0.505166,0.628598,0.494834,0.560163,0.581623,1.080765,0.439626
1092,293748,173667,287710,244875,0.540214,0.628452,0.505192,0.628452,0.494808,0.560121,0.581458,1.080821,0.439689
1093,293732,173683,287695,244890,0.540186,0.628418,0.505192,0.628418,0.494808,0.560107,0.581427,1.08082,0.439864
1094,293455,173960,287321,245264,0.539484,0.627825,0.505281,0.627825,0.494719,0.559927,0.580776,1.081011,0.439888
1095,293403,174012,287248,245337,0.539347,0.627714,0.5053,0.627714,0.4947,0.559894,0.580651,1.081052,0.44
1096,293371,174044,287203,245382,0.539262,0.627646,0.505312,0.627646,0.494688,0.559874,0.580574,1.081078,0.440015
1097,292984,174431,286730,245855,0.538374,0.626818,0.505394,0.626818,0.494606,0.559595,0.579714,1.081253,0.440075
1098,292952,174463,286694,245891,0.538307,0.626749,0.505398,0.626749,0.494602,0.55957,0.579646,1.081262,0.440083
1099,292929,174486,286647,245938,0.538218,0.6267,0.505419,0.6267,0.494581,0.559564,0.579576,1.081308,0.440109
1100,292673,174742,286311,246274,0.537587,0.626152,0.505494,0.626152,0.494506,0.559391,0.578984,1.081467,0.440162
1101,292644,174771,286287,246298,0.537542,0.62609,0.50549,0.62609,0.49451,0.559364,0.578931,1.081459,0.440164
1102,289095,178320,281816,250769,0.529147,0.618497,0.506375,0.618497,0.493625,0.556848,0.570911,1.083352,0.440199
1103,289065,178350,281785,250800,0.529089,0.618433,0.506376,0.618433,0.493624,0.556823,0.57085,1.083355,0.440217
1104,289044,178371,281769,250816,0.529059,0.618388,0.506372,0.618388,0.493628,0.556803,0.570813,1.083347,0.440228
1105,289020,178395,281739,250846,0.529003,0.618337,0.506378,0.618337,0.493622,0.556785,0.570759,1.083359,0.440238
1106,288491,178924,281060,251525,0.527728,0.617205,0.506524,0.617205,0.493476,0.556414,0.569551,1.08367,0.440252
1107,288482,178933,281054,251531,0.527717,0.617186,0.506521,0.617186,0.493479,0.556404,0.569536,1.083665,0.440299
1108,288411,179004,280999,251586,0.527613,0.617034,0.506508,0.617034,0.493492,0.556335,0.56941,1.083638,0.440299
1109,284808,182607,276485,256100,0.519138,0.609326,0.507414,0.609326,0.492586,0.55372,0.561293,1.085575,0.440322
1110,284316,183099,275858,256727,0.517961,0.608273,0.507549,0.608273,0.492451,0.553365,0.560174,1.085865,0.440367
1111,284307,183108,275847,256738,0.51794,0.608254,0.507551,0.608254,0.492449,0.553358,0.560154,1.085869,0.440385
1112,284281,183134,275816,256769,0.517882,0.608198,0.507557,0.608198,0.492443,0.553339,0.560097,1.08588,0.440397
1113,284270,183145,275798,256787,0.517848,0.608175,0.507563,0.608175,0.492437,0.553333,0.560068,1.085894,0.440449
1114,284253,183162,275772,256813,0.517799,0.608138,0.507572,0.608138,0.492428,0.553323,0.560025,1.085913,0.440462
1115,284203,183212,275725,256860,0.517711,0.608031,0.507571,0.608031,0.492429,0.553278,0.559928,1.08591,0.440476
1116,284176,183239,275697,256888,0.517658,0.607974,0.507572,0.607974,0.492428,0.553255,0.559873,1.085913,0.44052
1117,284152,183263,275657,256928,0.517583,0.607922,0.507587,0.607922,0.492413,0.553243,0.559809,1.085946,0.440654
1118,284055,183360,275503,257082,0.517294,0.607715,0.507642,0.607715,0.492358,0.553189,0.559558,1.086062,0.440678
1119,284044,183371,275489,257096,0.517268,0.607691,0.507645,0.607691,0.492355,0.553181,0.559533,1.086069,0.440729
1120,284023,183392,275467,257118,0.517226,0.607646,0.507646,0.607646,0.492354,0.553163,0.55949,1.086072,0.440758
1121,283997,183418,275439,257146,0.517174,0.607591,0.507649,0.607591,0.492351,0.553142,0.559436,1.086077,0.440759
1122,283117,184298,274328,258257,0.515088,0.605708,0.507883,0.605708,0.492117,0.552499,0.557445,1.086579,0.440763
1123,283051,184364,274268,258317,0.514975,0.605567,0.50788,0.605567,0.49212,0.552438,0.557319,1.086571,0.440771
1124,283009,184406,274200,258385,0.514847,0.605477,0.507905,0.605477,0.492095,0.552415,0.557209,1.086624,0.440789
1125,283002,184413,274190,258395,0.514829,0.605462,0.507908,0.605462,0.492092,0.552411,0.557192,1.086631,0.44081
1126,282976,184439,274160,258425,0.514772,0.605406,0.507912,0.605406,0.492088,0.55239,0.557136,1.08664,0.440816
1127,282931,184484,274115,258470,0.514688,0.60531,0.507913,0.60531,0.492087,0.552351,0.557046,1.086643,0.44086
1128,282903,184512,274093,258492,0.514646,0.60525,0.507908,0.60525,0.492092,0.552323,0.556996,1.086633,0.440909
1129,282895,184520,274084,258501,0.51463,0.605233,0.50791,0.605233,0.49209,0.552317,0.556979,1.086635,0.440945
1130,282878,184537,274067,258518,0.514598,0.605197,0.50791,0.605197,0.49209,0.552302,0.556945,1.086636,0.440994
1131,282843,184572,274029,258556,0.514526,0.605122,0.507914,0.605122,0.492086,0.552273,0.556872,1.086644,0.441048
1132,282829,184586,274008,258577,0.514487,0.605092,0.507921,0.605092,0.492079,0.552264,0.556837,1.086659,0.441103
1133,282810,184605,273982,258603,0.514438,0.605051,0.507928,0.605051,0.492072,0.552252,0.556792,1.086674,0.441109
1134,282788,184627,273949,258636,0.514376,0.605004,0.507938,0.605004,0.492062,0.552238,0.556737,1.086696,0.441125
1135,279252,188163,269337,263248,0.505716,0.597439,0.509037,0.597439,0.490963,0.549706,0.548589,1.089047,0.441176
1136,279222,188193,269285,263300,0.505619,0.597375,0.509058,0.597375,0.490942,0.549692,0.548507,1.089093,0.441203
1137,275734,191681,264721,267864,0.497049,0.589913,0.510189,0.589913,0.489811,0.547162,0.540455,1.091511,0.441261
1138,275690,191725,264679,267906,0.49697,0.589818,0.510188,0.589818,0.489812,0.547121,0.540369,1.091511,0.441278
1139,275562,191853,264529,268056,0.496689,0.589545,0.510214,0.589545,0.489786,0.547018,0.540091,1.091565,0.441286
1140,275498,191917,264452,268133,0.496544,0.589408,0.510229,0.589408,0.489771,0.546968,0.53995,1.091597,0.441302
1141,275253,192162,264116,268469,0.495913,0.588884,0.510324,0.588884,0.489676,0.546797,0.539369,1.091801,0.441379
1142,275242,192173,264112,268473,0.495906,0.58886,0.510318,0.58886,0.489682,0.546783,0.539354,1.091788,0.441417
1143,275211,192204,264067,268518,0.495821,0.588794,0.510332,0.588794,0.489668,0.546763,0.539278,1.091818,0.441423
1144,275159,192256,264004,268581,0.495703,0.588682,0.510345,0.588682,0.489655,0.546722,0.539163,1.091845,0.441441
1145,275129,192286,263964,268621,0.495628,0.588618,0.510355,0.588618,0.489645,0.5467,0.539093,1.091868,0.441487
1146,275042,192373,263843,268742,0.495401,0.588432,0.510391,0.588432,0.489609,0.54664,0.538885,1.091944,0.441489
1147,275034,192381,263834,268751,0.495384,0.588415,0.510392,0.588415,0.489608,0.546634,0.538868,1.091946,0.441501
1148,275011,192404,263805,268780,0.495329,0.588366,0.510399,0.588366,0.489601,0.546616,0.538816,1.091961,0.441509
1149,274940,192475,263704,268881,0.49514,0.588214,0.51043,0.588214,0.48957,0.546568,0.538644,1.092027,0.441541
1150,274906,192509,263671,268914,0.495078,0.588141,0.51043,0.588141,0.48957,0.546537,0.538577,1.092028,0.441558
1151,274900,192515,263660,268925,0.495057,0.588128,0.510435,0.588128,0.489565,0.546534,0.53856,1.092039,0.441587
1152,271219,196196,258951,273634,0.486215,0.580253,0.51157,0.580253,0.48843,0.543751,0.53017,1.094466,0.441667
1153,271209,196206,258943,273642,0.4862,0.580232,0.511568,0.580232,0.488432,0.543741,0.530152,1.094463,0.441734
1154,271180,196235,258892,273693,0.486105,0.58017,0.511591,0.58017,0.488409,0.543726,0.530072,1.094511,0.441743
1155,271086,196329,258761,273824,0.485859,0.579969,0.511631,0.579969,0.488369,0.543661,0.529847,1.094596,0.441752
1156,271025,196390,258698,273887,0.48574,0.579838,0.511635,0.579838,0.488365,0.543606,0.529723,1.094606,0.44186
1157,271007,196408,258684,273901,0.485714,0.5798,0.511632,0.5798,0.488368,0.543587,0.529691,1.0946,0.441903
1158,270968,196447,258617,273968,0.485588,0.579716,0.511661,0.579716,0.488339,0.543567,0.529585,1.094661,0.441955
1159,270939,196476,258591,273994,0.485539,0.579654,0.511659,0.579654,0.488341,0.543539,0.52953,1.094658,0.441989
1160,270918,196497,258569,274016,0.485498,0.579609,0.511661,0.579609,0.488339,0.54352,0.529487,1.094662,0.441993
1161,270801,196614,258404,274181,0.485188,0.579359,0.511713,0.579359,0.488287,0.543439,0.529205,1.094772,0.442006
1162,270750,196665,258337,274248,0.485062,0.57925,0.511731,0.57925,0.488269,0.543401,0.529087,1.09481,0.442013
1163,270725,196690,258314,274271,0.485019,0.579196,0.51173,0.579196,0.48827,0.543377,0.529039,1.094808,0.44208
1164,270711,196704,258296,274289,0.484985,0.579166,0.511734,0.579166,0.488266,0.543366,0.529007,1.094818,0.442105
1165,270701,196714,258283,274302,0.484961,0.579145,0.511738,0.579145,0.488262,0.543359,0.528984,1.094825,0.442177
1166,270692,196723,258276,274309,0.484948,0.579126,0.511736,0.579126,0.488264,0.543349,0.528968,1.094822,0.442193
1167,269841,197574,257144,275441,0.482822,0.577305,0.512047,0.577305,0.487953,0.542721,0.526985,1.095487,0.442231
1168,269798,197617,257091,275494,0.482723,0.577213,0.512059,0.577213,0.487941,0.542687,0.526889,1.095512,0.442308
1169,269796,197619,257086,275499,0.482714,0.577209,0.512062,0.577209,0.487938,0.542687,0.526882,1.095518,0.44239
1170,269408,198007,256570,276015,0.481745,0.576379,0.512204,0.576379,0.487796,0.5424,0.525978,1.095823,0.442396
1171,269361,198054,256509,276076,0.48163,0.576278,0.51222,0.576278,0.48778,0.542364,0.52587,1.095856,0.442408
1172,265576,201839,251632,280953,0.472473,0.56818,0.51348,0.56818,0.48652,0.539447,0.517208,1.098553,0.442412
1173,265439,201976,251464,281121,0.472157,0.567887,0.513518,0.567887,0.486482,0.539336,0.516903,1.098634,0.442436
1174,265331,202084,251337,281248,0.471919,0.567656,0.513543,0.567656,0.486457,0.539245,0.516668,1.098686,0.442478
1175,265267,202148,251297,281288,0.471844,0.567519,0.513522,0.567519,0.486478,0.539172,0.516564,1.098643,0.442516
1176,265230,202185,251270,281315,0.471793,0.56744,0.513514,0.56744,0.486486,0.539132,0.5165,1.098625,0.442589
1177,265212,202203,251239,281346,0.471735,0.567402,0.513528,0.567402,0.486472,0.539122,0.516451,1.098655,0.442623
1178,265139,202276,251170,281415,0.471605,0.567245,0.513528,0.567245,0.486472,0.539052,0.516309,1.098655,0.442632
1179,265045,202370,251058,281527,0.471395,0.567044,0.513551,0.567044,0.486449,0.538973,0.516103,1.098704,0.442645
1180,265000,202415,251010,281575,0.471305,0.566948,0.513556,0.566948,0.486444,0.538933,0.51601,1.098715,0.442688
1181,264973,202442,250984,281601,0.471256,0.56689,0.513556,0.56689,0.486444,0.538907,0.515957,1.098716,0.44269
1182,264613,202802,250498,282087,0.470344,0.56612,0.513701,0.56612,0.486299,0.538638,0.515111,1.099025,0.442708
1183,264605,202810,250491,282094,0.470331,0.566103,0.5137,0.566103,0.4863,0.53863,0.515096,1.099024,0.442724
1184,264460,202955,250307,282278,0.469985,0.565793,0.513747,0.565793,0.486253,0.538515,0.514767,1.099124,0.442731
1185,264430,202985,250273,282312,0.469921,0.565729,0.513753,0.565729,0.486247,0.538489,0.514703,1.099136,0.442748
1186,264413,203002,250254,282331,0.469886,0.565692,0.513755,0.565692,0.486245,0.538474,0.514667,1.099142,0.442804
1187,264402,203013,250237,282348,0.469854,0.565669,0.513762,0.565669,0.486238,0.538467,0.514639,1.099156,0.442857
1188,264339,203076,250185,282400,0.469756,0.565534,0.513754,0.565534,0.486246,0.538402,0.514524,1.09914,0.442913
1189,260301,207114,245185,287400,0.460368,0.556895,0.514952,0.556895,0.485048,0.535103,0.505486,1.101702,0.442922
1190,260290,207125,245171,287414,0.460342,0.556871,0.514956,0.556871,0.485044,0.535094,0.505461,1.10171,0.442925
1191,260197,207218,245024,287561,0.460066,0.556672,0.515016,0.556672,0.484984,0.535035,0.505221,1.101839,0.442935
1192,260167,207248,244974,287611,0.459972,0.556608,0.515038,0.556608,0.484962,0.535017,0.505141,1.101887,0.442966
1193,260136,207279,244942,287643,0.459912,0.556542,0.515041,0.556542,0.484959,0.534988,0.505078,1.101893,0.442982
1194,260109,207306,244915,287670,0.459861,0.556484,0.515043,0.556484,0.484957,0.534962,0.505024,1.101896,0.442997
1195,260098,207317,244897,287688,0.459827,0.556461,0.515051,0.556461,0.484949,0.534955,0.504995,1.101913,0.443005
1196,260080,207335,244875,287710,0.459786,0.556422,0.515056,0.556422,0.484944,0.53494,0.504955,1.101924,0.443038
1197,260070,207345,244858,287727,0.459754,0.556401,0.515064,0.556401,0.484936,0.534935,0.504928,1.101941,0.443082
1198,259952,207463,244710,287875,0.459476,0.556148,0.515101,0.556148,0.484899,0.534838,0.504662,1.102021,0.443114
1199,259942,207473,244700,287885,0.459457,0.556127,0.515102,0.556127,0.484898,0.534829,0.504642,1.102022,0.443176
1200,259849,207566,244587,287998,0.459245,0.555928,0.515128,0.555928,0.484872,0.534751,0.504436,1.102078,0.443182
1201,259840,207575,244582,288003,0.459236,0.555909,0.515124,0.555909,0.484876,0.53474,0.504422,1.10207,0.44324
1202,259744,207671,244465,288120,0.459016,0.555703,0.515151,0.555703,0.484849,0.534659,0.504209,1.102129,0.443243
1203,259739,207676,244450,288135,0.458988,0.555692,0.515162,0.555692,0.484838,0.53466,0.504189,1.102151,0.443299
1204,259697,207718,244399,288186,0.458892,0.555603,0.515174,0.555603,0.484826,0.534625,0.504096,1.102176,0.443333
1205,259683,207732,244377,288208,0.458851,0.555573,0.515183,0.555573,0.484817,0.534616,0.50406,1.102196,0.443378
1206,259658,207757,244342,288243,0.458785,0.555519,0.515194,0.555519,0.484806,0.534597,0.504,1.102221,0.443396
1207,259652,207763,244330,288255,0.458762,0.555506,0.515201,0.555506,0.484799,0.534595,0.503982,1.102235,0.443598
1208,259572,207843,244223,288362,0.458562,0.555335,0.515233,0.555335,0.484767,0.534533,0.503795,1.102304,0.443609
1209,259566,207849,244215,288370,0.458547,0.555322,0.515236,0.555322,0.484764,0.534529,0.503781,1.102309,0.443662
1210,259557,207858,244205,288380,0.458528,0.555303,0.515237,0.555303,0.484763,0.53452,0.503762,1.102312,0.443709
1211,259546,207869,244197,288388,0.458513,0.55528,0.515235,0.55528,0.484765,0.534508,0.503743,1.102307,0.44374
1212,259515,207900,244158,288427,0.458439,0.555213,0.515245,0.555213,0.484755,0.534483,0.503673,1.102329,0.44375
1213,259496,207919,244113,288472,0.458355,0.555173,0.515273,0.555173,0.484727,0.534479,0.503609,1.102388,0.443787
1214,259488,207927,244105,288480,0.45834,0.555155,0.515273,0.555155,0.484727,0.534471,0.503593,1.102389,0.443878
1215,259424,207991,244030,288555,0.458199,0.555019,0.515288,0.555019,0.484712,0.534416,0.503454,1.102422,0.443925
1216,259393,208022,244012,288573,0.458165,0.554952,0.515277,0.554952,0.484723,0.534379,0.503405,1.102397,0.444023
1217,259369,208046,243985,288600,0.458115,0.554901,0.515281,0.554901,0.484719,0.534358,0.503354,1.102407,0.444039
1218,259332,208083,243931,288654,0.458013,0.554822,0.515301,0.554822,0.484699,0.534332,0.503263,1.102449,0.444068
1219,259286,208129,243894,288691,0.457944,0.554723,0.515295,0.554723,0.484705,0.534283,0.50318,1.102435,0.444231
1220,259262,208153,243861,288724,0.457882,0.554672,0.515305,0.554672,0.484695,0.534265,0.503123,1.102458,0.444311
1221,259085,208330,243593,288992,0.457379,0.554293,0.515409,0.554293,0.484591,0.534145,0.502678,1.102681,0.444345
1222,259027,208388,243524,289061,0.457249,0.554169,0.515424,0.554169,0.484576,0.534095,0.502551,1.102712,0.444444
1223,258463,208952,242859,289726,0.456,0.552963,0.515563,0.552963,0.484437,0.533608,0.501322,1.103009,0.444606
1224,258439,208976,242817,289768,0.455922,0.552911,0.515583,0.552911,0.484417,0.533595,0.501256,1.103052,0.444672
1225,258413,209002,242793,289792,0.455877,0.552856,0.515582,0.552856,0.484418,0.533569,0.501206,1.103051,0.444751
1226,258379,209036,242753,289832,0.455801,0.552783,0.515591,0.552783,0.484409,0.533539,0.501132,1.103068,0.444915
1227,258311,209104,242684,289901,0.455672,0.552637,0.515596,0.552637,0.484404,0.533474,0.500995,1.10308,0.444976
1228,258300,209115,242676,289909,0.455657,0.552614,0.515594,0.552614,0.484406,0.533462,0.500976,1.103074,0.445026
1229,258269,209146,242643,289942,0.455595,0.552548,0.515598,0.552548,0.484402,0.533433,0.500912,1.103083,0.445055
1230,258245,209170,242611,289974,0.455535,0.552496,0.515607,0.552496,0.484393,0.533415,0.500856,1.103104,0.445087
1231,258238,209177,242596,289989,0.455507,0.552481,0.515616,0.552481,0.484384,0.533412,0.500834,1.103122,0.445122
1232,258198,209217,242553,290032,0.455426,0.552396,0.515622,0.552396,0.484378,0.533375,0.500751,1.103134,0.445161
1233,258169,209246,242502,290083,0.45533,0.552334,0.515646,0.552334,0.484354,0.53336,0.500671,1.103187,0.445205
1234,258162,209253,242490,290095,0.455308,0.552319,0.515652,0.552319,0.484348,0.533356,0.500652,1.103199,0.445231
1235,258067,209348,242366,290219,0.455075,0.552115,0.515687,0.552115,0.484313,0.53328,0.500433,1.103275,0.445325
1236,258030,209385,242335,290250,0.455017,0.552036,0.515684,0.552036,0.484316,0.533241,0.500365,1.103267,0.445344
1237,258013,209402,242326,290259,0.455,0.552,0.515676,0.552,0.484324,0.53322,0.500339,1.103252,0.445369
1238,257967,209448,242262,290323,0.45488,0.551901,0.515698,0.551901,0.484302,0.533186,0.500229,1.103298,0.445441
1239,257933,209482,242226,290359,0.454812,0.551829,0.515702,0.551829,0.484298,0.533154,0.500159,1.103306,0.445455
1240,257921,209494,242207,290378,0.454776,0.551803,0.51571,0.551803,0.48429,0.533146,0.500128,1.103324,0.445466
1241,257878,209537,242177,290408,0.45472,0.551711,0.515699,0.551711,0.484301,0.533098,0.500055,1.103301,0.445481
1242,257768,209647,242070,290515,0.454519,0.551476,0.515703,0.551476,0.484297,0.53299,0.499838,1.103309,0.445527
1243,257722,209693,241988,290597,0.454365,0.551377,0.515743,0.551377,0.484257,0.532965,0.49971,1.103394,0.445545
1244,257666,209749,241903,290682,0.454205,0.551257,0.515777,0.551257,0.484223,0.532927,0.499569,1.103466,0.445575
1245,257512,209903,241702,290883,0.453828,0.550928,0.515835,0.550928,0.484165,0.532804,0.499214,1.103591,0.445585
1246,256759,210656,240876,291709,0.452277,0.549317,0.515958,0.549317,0.484042,0.532115,0.497635,1.103855,0.445633
1247,256729,210686,240844,291741,0.452217,0.549253,0.515962,0.549253,0.484038,0.532087,0.497573,1.103864,0.445636
1248,256688,210727,240809,291776,0.452151,0.549165,0.515959,0.549165,0.484041,0.532044,0.497497,1.103856,0.445652
1249,256664,210751,240789,291796,0.452114,0.549114,0.515956,0.549114,0.484044,0.532019,0.497453,1.10385,0.445685
1250,256612,210803,240744,291841,0.452029,0.549002,0.515952,0.549002,0.484048,0.531965,0.497356,1.103842,0.445707
1251,256545,210870,240633,291952,0.451821,0.548859,0.516002,0.548859,0.483998,0.531924,0.497178,1.103949,0.445714
1252,256540,210875,240628,291957,0.451811,0.548848,0.516003,0.548848,0.483997,0.531919,0.497168,1.10395,0.445755
1253,256472,210943,240558,292027,0.45168,0.548703,0.516009,0.548703,0.483991,0.531854,0.49703,1.103963,0.445783
1254,256460,210955,240545,292040,0.451656,0.548677,0.516011,0.548677,0.483989,0.531843,0.497005,1.103967,0.445848
1255,256434,210981,240517,292068,0.451603,0.548622,0.516015,0.548622,0.483985,0.531819,0.496951,1.103975,0.445946
1256,256262,211153,240302,292283,0.451199,0.548254,0.51607,0.548254,0.48393,0.531675,0.496564,1.104095,0.446043
1257,256228,211187,240274,292311,0.451147,0.548181,0.516066,0.548181,0.483934,0.531639,0.496502,1.104086,0.446072
1258,256177,211238,240232,292353,0.451068,0.548072,0.51606,0.548072,0.48394,0.531585,0.496409,1.104073,0.446078
1259,256168,211247,240223,292362,0.451051,0.548053,0.516061,0.548053,0.483939,0.531576,0.496391,1.104074,0.446097
1260,256139,211276,240168,292417,0.450948,0.547991,0.51609,0.547991,0.48391,0.531562,0.496307,1.104136,0.446121
1261,256117,211298,240144,292441,0.450903,0.547943,0.516093,0.547943,0.483907,0.531542,0.496261,1.104144,0.446154
1262,256058,211357,240077,292508,0.450777,0.547817,0.516105,0.547817,0.483895,0.531489,0.496135,1.10417,0.446171
1263,256018,211397,240023,292562,0.450675,0.547732,0.516123,0.547732,0.483877,0.531458,0.496041,1.104206,0.446198
1264,255653,211762,239553,293032,0.449793,0.546951,0.516256,0.546951,0.483744,0.53116,0.495206,1.104491,0.446224
1265,255636,211779,239531,293054,0.449752,0.546914,0.516262,0.546914,0.483738,0.531146,0.495167,1.104505,0.446237
1266,255619,211796,239521,293064,0.449733,0.546878,0.516256,0.546878,0.483744,0.531126,0.49514,1.104492,0.446309
1267,255603,211812,239503,293082,0.449699,0.546844,0.516259,0.546844,0.483741,0.531112,0.495106,1.104498,0.446414
1268,255546,211869,239430,293155,0.449562,0.546722,0.51628,0.546722,0.48372,0.531065,0.494976,1.104542,0.446429
1269,255540,211875,239423,293162,0.449549,0.546709,0.516281,0.546709,0.483719,0.53106,0.494963,1.104545,0.446441
1270,255464,211951,239350,293235,0.449412,0.546546,0.516283,0.546546,0.483717,0.530984,0.494814,1.104549,0.446475
1271,255440,211975,239329,293256,0.449372,0.546495,0.516281,0.546495,0.483719,0.530959,0.494769,1.104546,0.446494
1272,255430,211985,239311,293274,0.449339,0.546474,0.51629,0.546474,0.48371,0.530953,0.494741,1.104565,0.446521
1273,255384,212031,239244,293341,0.449213,0.546375,0.516315,0.546375,0.483685,0.53092,0.494628,1.104619,0.446541
1274,255374,212041,239232,293353,0.44919,0.546354,0.516318,0.546354,0.483682,0.530911,0.494606,1.104624,0.446556
1275,255357,212058,239213,293372,0.449155,0.546318,0.516321,0.546318,0.483679,0.530896,0.49457,1.104631,0.446565
1276,255345,212070,239199,293386,0.449128,0.546292,0.516324,0.546292,0.483676,0.530885,0.494544,1.104637,0.446602
1277,255323,212092,239166,293419,0.449066,0.546245,0.516337,0.546245,0.483663,0.53087,0.494489,1.104665,0.446667
1278,255315,212100,239161,293424,0.449057,0.546228,0.516334,0.546228,0.483666,0.530861,0.494476,1.10466,0.446691
1279,255293,212122,239135,293450,0.449008,0.546181,0.51634,0.546181,0.48366,0.530841,0.494428,1.104672,0.446809
1280,255257,212158,239096,293489,0.448935,0.546104,0.516346,0.546104,0.483654,0.530808,0.494353,1.104683,0.446862
